"Column Name","Description","Data Type","Range","Units","Example Values"
"SalePrice","The sale price of the property in dollars (target variable)","Numerical","[34900, 755000]","Dollars","200000, 130000, 450000"
"Id","Unique identifier for the property","Numerical","[1, 1460]","—","1, 2, 3"
"MSSubClass","Code identifying the type of dwelling involved in the sale","Categorical","[20, 190]","—","60, 120, 160"
"MSZoning","General zoning classification","Categorical","—","—","RL, RM, C (all)"
"LotFrontage","Linear feet of street connected to property","Numerical","[21.0, 313.0]","Feet","65.0, 80.0"
"LotArea","Lot size","Numerical","[1300, 215245]","Square Feet","8500, 12500, 9000"
"Street","Type of road access to the property","Categorical","—","—","Pave, Grvl"
"Alley","Type of alley access","Categorical","—","—","Grvl, Pave"
"LotShape","General shape of property","Categorical","—","—","Reg, IR1, IR2"
"LandContour","Flatness or slope of the property","Categorical","—","—","Lvl, Bnk, Low"
"Utilities","Utilities available","Categorical","—","—","AllPub, NoSeWa"
"LotConfig"," Lot configuration in relation to neighboring properties","Categorical","—","—","Inside, FR2, Corner"
"LandSlope","Slope of property","Categorical","—","—","Gtl, Mod, Sev"
"Neighborhood","Physical location within Ames city limits","Categorical","—","—","NAmes, OldTown"
"Condition1","Proximity to main road or railroad","Categorical","—","—","Norm, Feedr, PosN"
"Condition2","Secondary proximity to main road or railroad","Categorical","—","—","Norm, Artery, RRNn"
"BldgType","Type of dwelling","Categorical","—","—","1Fam, 2fmCon, Duplex"
"HouseStyle","Style of dwelling","Categorical","—","—","2Story, 1Story"
"OverallQual","Overall material and finish quality rating","Ordinal","[1, 10]","Scale 1-10","5, 7, 10"
"OverallCond","Overall condition rating of the house","Ordinal","[1, 9]","Scale 1-9","5, 6, 8"
"YearBuilt","Original construction year of the property","Numerical","[1872, 2010]","Year","2000, 1985, 1950"
"YearRemodAdd","Year of the last remodel or addition","Numerical","[1950, 2010]","Year","2000, 1998"
"RoofStyle","Type of roof structure","Categorical","—","—","Gable, Hip"
"RoofMatl","Roof material","Categorical","—","—","CompShg, WdShngl"
"Exterior1st","Primary exterior material covering the house","Categorical","—","—","VinylSd, MetalSd"
"Exterior2nd","Secondary exterior material covering the house","Categorical","—","—","VinylSd, MetalSd"
"MasVnrType","Type of masonry veneer","Categorical","—","—","BrkFace, Stone"
"MasVnrArea","Area of masonry veneer","Numerical","[0.0, 1600.0]","Square Feet","200.0, 300.0, 0.0"
"ExterQual","Exterior material quality","Ordinal","—","—","Gd, TA, Ex"
"ExterCond","Condition of exterior material","Ordinal","—","—","TA, Gd, Fa"
"Foundation","Type of foundation","Categorical","—","—","PConc, CBlock"
"BsmtQual","Basement height quality","Ordinal","—","—","Gd, TA, Ex"
"BsmtCond","General condition of basement","Ordinal","—","—","TA, Gd, Fa"
"BsmtExposure","Walkout or garden level basement walls","Categorical","—","—","No, Gd, Mn"
"BsmtFinType1","Quality of primary basement finish","Categorical","—","—","GLQ, ALQ, Unf"
"BsmtFinSF1","Type 1 finished basement square feet","Numerical","[0, 5644]","Square Feet","500, 800, 1000"
"BsmtFinType2","Quality of secondary basement finish","Categorical","—","—","Unf, BLQ, ALQ"
"BsmtFinSF2","Type 2 finished basement square feet","Numerical","[0, 1474]","Square Feet","200, 600"
"BsmtUnfSF","Unfinished basement square feet","Numerical","[0, 2336]","Square Feet","500, 800, 1000"
"TotalBsmtSF","Total basement area","Numerical","[0, 6110]","Square Feet","1000, 1500, 2000"
